country,year,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,longitude,latitude
Turkmenistan,1924,4.223,0.084,0.222,0.012,0.523,6.903,60,40
Ukraine,1924,0.181,8.002,3.024,0.03,1.949,8.007,32,49
United Kingdom,1924,2.837,472.136,0.983,57.998,3.847,3.187,-3,55
United States,1924,13.297,1313.207,23.476,56.829,325.557,8.711,-100,40
Uzbekistan,1924,0.142,0.804,22.217,0.026,0.831,27.588,63,42
Venezuela,1924,0.461,0.136,22.339,9.929,0.249,27.588,-65,7
Vietnam,1924,0.504,3.279,23.99,22.788,24.243,27.588,108,16
Zimbabwe,1924,0.528,1.568,0.572,1.249,2.183,27.588,30,-20
Argentina,1925,0.161,8.35,5.289,0.165,2.722,1.379,-58.382,-34.604
Armenia,1925,0.423,0.039,1.188,0.003,0.226,1.379,45.038,40.069
Australia,1925,0.373,28.235,0.341,1.15,4.053,1.379,151.21,-33.865
Austria,1925,0.536,18.554,12.363,17.248,0.436,3.101,14.55,47.516
Azerbaijan,1925,0.209,0.021,0.161,0.02,0.729,1.297,48.5,41.4
Belarus,1925,0.034,0.288,0.196,0.009,1.387,3.327,27.953,53.71
Belgium,1925,1.573,76.871,0.026,18.371,1.169,1.486,4.47,50.504
Bosnia and Herzegovina,1925,0.043,1.117,0.063,0.282,0.016,1.611,18.294,44.409
Brazil,1925,0.04,5.375,0.01,0.004,0.823,1.451,-46.625,-23.534
Bulgaria,1925,0.393,1.81,0.609,3.772,1.328,1.197,25.486,42.734
Canada,1925,0.883,69.077,1.222,0.894,5.276,2.759,-123.116,49.246
Chile,1925,0.057,3.8,1.829,23.233,0.469,1.646,-70.674,-33.447
China,1925,0.134,33.221,0.29,5.864,1.904,1.394,104.195,35.862
Croatia,1925,0.4,0.765,0.051,0.028,0.466,0.352,15.967,45.815
Czechia,1925,0.465,35.669,0.406,0.002,0.049,0.809,14.419,50.074
Denmark,1925,0.353,10.721,0.06,0.013,3.609,1.009,12.568,55.676
Egypt,1925,0.405,1.394,1.25,0.88,0.553,0.277,30.802,26.821
Estonia,1925,0.053,0.408,0.74,0.001,0.076,0.167,24.754,59.437
Finland,1925,0.132,1.623,0.092,0.364,0.088,0.949,24.946,60.192
France,1925,1.942,200.018,1.981,1.734,13.81,1.892,2.349,48.865
Georgia,1925,0.009,0.119,0.553,0.004,0.287,7.765,44.783,41.717
Germany,1925,3.489,457.824,0.512,1.192,0.242,9.817,13.405,52.52
Greece,1925,0.231,1.752,0.803,1.847,0.227,4.127,21.824,39.074
Hungary,1925,0.264,9.896,0.303,1.322,0.234,1.285,19.04,47.498
Indonesia,1925,19.218,3.715,2.307,0.612,6.753,0.168,106.774,-6.121
Iran,1925,13.103,104.964,11.282,51.541,14.202,0.295,53.688,32.428
Ireland,1925,1.842,6.035,28.904,23.084,105.282,0.516,-8.244,53.413
Italy,1925,1.596,29.62,2.594,0.011,1.337,3.353,12.496,41.903
Japan,1925,1.735,81.154,0.76,0.04,0.817,8.301,138.253,36.205
Kazakhstan,1925,0.206,2.818,0.842,0.005,0.563,5.135,66.924,48.02
Kyrgyzstan,1925,0.152,0.214,1.053,0.001,0.097,1.832,74.766,41.204
Latvia,1925,0.096,0.086,0.128,0.002,0.16,0.883,25,57
Lithuania,1925,0.105,0.108,3.547,0.004,0.351,0.407,23.904,54.899
Malaysia,1925,0.069,1.082,0.178,0.136,1.882,0.038,112.5,2.5
Mexico,1925,0.107,2.737,3.079,0.275,54.073,0.183,-102,23
Moldova,1925,0.99,0.208,2.002,0.002,0.193,0.33,28.37,47.412
Montenegro,1925,0.166,0.109,0.048,1.226,0.003,0.516,19.3,42.5
Netherlands,1925,0.203,31.525,0.101,0.865,2.066,1.114,5.55,52.317
New Zealand,1925,0.095,4.089,0.365,23.826,0.538,0.812,173,-42
Nigeria,1925,0.029,0.645,1.135,1.674,1.423,0.604,10,8
North Korea,1925,1.05,1.6,11.142,25.738,0.19,0.506,127,40
North Macedonia,1925,0.298,0.791,3.513,9.76,0.036,0.434,21.7,41.6
Norway,1925,0.15,7.028,0.117,0.742,0.568,0.363,8,61
Oceania,1925,0.506,32.324,1.394,7.902,0.064,1.04,133.775,-25.274
Peru,1925,0.059,0.271,1.626,0.773,3.741,5.129,-76,-10
Philippines,1925,0.571,0.084,0.553,12.439,19.058,5.271,122,13
Poland,1925,1.476,45.664,2.919,0.744,1.667,5.419,20,52
Portugal,1925,0.824,2.931,3.497,25.269,0.191,3.383,-9.183,38.7
Romania,1925,0.382,3.942,1.323,0.66,7.108,1.395,25,46
Russia,1925,0.884,21.119,5.229,0.244,11.307,11.732,90,60
Serbia,1925,0.303,3.236,0.088,0.006,0.053,8.071,21,44
Slovakia,1925,0.215,11.379,0.03,0.676,0.026,2.226,19.5,48.667
Slovenia,1925,0.205,0.861,0.019,1.278,0.077,0.752,14.817,46.117
South Africa,1925,0.165,28.953,0.099,2.95,2.854,0.969,25,-30
South Korea,1925,1.566,0.089,0.076,7.046,29.32,1.576,128,36
Spain,1925,1.424,18.324,0.107,0.058,0.729,2.58,-4,40
Sweden,1925,0.222,11.97,0.099,0.053,0.927,1.101,16,63
Switzerland,1925,0.447,7.266,0.597,1.053,0.271,0.468,8.333,46.833
Taiwan,1925,0.331,4.444,1.618,0.044,5.426,0.517,121,24
Tajikistan,1925,0.482,0.071,0.508,0.001,0.078,0.875,71,39
Trinidad and Tobago,1925,0.212,7.495,1.639,0.128,1.817,2.141,-61.1,10.6
Turkey,1925,0.398,2.367,0.269,8.38,6.72,2.785,35,39
Turkmenistan,1925,3.175,0.074,0.223,0.018,0.518,6.908,60,40
Ukraine,1925,0.174,7.697,3.039,0.051,2.102,8.011,32,49
United Kingdom,1925,2.671,445.238,0.967,54.776,4.419,3.192,-3,55
United States,1925,14.119,1340.481,24.232,59.174,341.244,8.946,-100,40
Uzbekistan,1925,0.136,0.74,21.778,0.043,0.857,27.588,63,42
Venezuela,1925,0.42,0.169,22.55,8.821,0.505,27.588,-65,7
Vietnam,1925,0.398,3.616,23.618,22.389,23.325,27.588,108,16
Zimbabwe,1925,0.504,1.828,0.572,1.249,2.11,27.588,30,-20
Argentina,1926,0.146,7.451,5.218,0.293,3.515,1.379,-58.382,-34.604
Armenia,1926,0.284,0.072,1.164,0.005,0.313,1.379,45.038,40.069
Australia,1926,0.374,27.854,0.342,1.119,4.292,1.379,151.21,-33.865
Austria,1926,0.443,18.104,12.174,14.788,0.517,3.07,14.55,47.516
Azerbaijan,1926,0.146,0.039,0.162,0.029,1.047,1.302,48.5,41.4
Belarus,1926,0.033,0.524,0.202,0.012,1.903,3.332,27.953,53.71
Belgium,1926,1.55,76.526,0.027,17.636,1.158,1.504,4.47,50.504
Bosnia and Herzegovina,1926,0.032,1.085,0.062,0.211,0.018,1.61,18.294,44.409
Brazil,1926,0.041,5.478,0.01,0.004,0.741,1.45,-46.625,-23.534
Bulgaria,1926,0.28,1.781,0.601,3.681,1.296,1.196,25.486,42.734
Canada,1926,0.879,77.087,1.224,1.019,6.65,2.764,-123.116,49.246
Chile,1926,0.057,3.902,1.765,22.265,0.45,1.644,-70.674,-33.447
China,1926,0.102,29.583,0.301,5.63,0.007,1.392,104.195,35.862
Croatia,1926,0.395,0.704,0.05,0.022,0.495,0.349,15.967,45.815
Czechia,1926,0.45,36.171,0.407,0.002,0.044,0.839,14.419,50.074
Denmark,1926,0.364,10.468,0.06,0.013,3.663,1.007,12.568,55.676
Egypt,1926,0.285,1.359,1.253,0.86,0.531,0.276,30.802,26.821
Estonia,1926,0.052,0.615,0.727,0.001,0.086,0.167,24.754,59.437
Finland,1926,0.134,1.506,0.092,0.374,0.092,0.952,24.946,60.192
France,1926,1.994,207.39,2.053,1.632,6.342,1.939,2.349,48.865
Georgia,1926,0.009,0.208,0.543,0.005,0.38,7.782,44.783,41.717
Germany,1926,3.597,412.944,0.525,1.062,0.293,9.835,13.405,52.52
Greece,1926,0.178,1.55,0.79,1.818,0.271,4.08,21.824,39.074
Hungary,1926,0.246,11.366,0.303,1.134,0.407,1.286,19.04,47.498
Indonesia,1926,14.432,3.891,2.335,0.553,6.654,0.169,106.774,-6.121
Iran,1926,12.232,97.48,11.294,49.842,15.059,0.296,53.688,32.428
Ireland,1926,1.705,8.097,28.459,22.649,101.11,0.517,-8.244,53.413
Italy,1926,1.57,34.387,2.617,0.011,1.444,3.377,12.496,41.903
Japan,1926,1.789,81.802,0.744,0.04,0.762,8.354,138.253,36.205
Kazakhstan,1926,0.149,4.259,0.846,0.005,0.641,5.1,66.924,48.02
Kyrgyzstan,1926,0.104,0.336,1.035,0.001,0.115,1.827,74.766,41.204
Latvia,1926,0.07,0.149,0.127,0.002,0.209,0.877,25,57
Lithuania,1926,0.077,0.192,3.477,0.005,0.473,0.408,23.904,54.899
Malaysia,1926,0.068,1.213,0.179,0.135,2.187,0.038,112.5,2.5
Mexico,1926,0.106,2.481,3.063,0.307,42.206,0.184,-102,23
Moldova,1926,0.663,0.342,1.961,0.003,0.24,0.331,28.37,47.412
Montenegro,1926,0.165,0.105,0.048,1.219,0.003,0.517,19.3,42.5
Netherlands,1926,0.178,31.943,0.1,0.828,2.385,1.115,5.55,52.317
New Zealand,1926,0.098,4.272,0.357,23.301,0.449,0.806,173,-42
Nigeria,1926,0.03,0.876,1.135,1.631,1.387,0.604,10,8
North Korea,1926,0.945,1.718,11.078,25.604,0.199,0.505,127,40
North Macedonia,1926,0.21,0.765,3.449,9.627,0.041,0.434,21.7,41.6
Norway,1926,0.142,5.804,0.119,0.752,0.557,0.362,8,61
Oceania,1926,0.497,32.126,1.363,7.689,0.054,1.066,133.775,-25.274
Peru,1926,0.047,0.454,1.626,0.835,4.28,5.13,-76,-10
Philippines,1926,0.392,0.051,0.573,12.251,18.34,5.273,122,13
Poland,1926,1.165,46.185,2.94,0.667,1.279,5.42,20,52
Portugal,1926,0.561,2.909,3.445,24.892,0.227,3.339,-9.183,38.7
Romania,1926,0.309,3.879,1.32,0.674,9.949,1.4,25,46
Russia,1926,0.784,33.518,5.409,0.29,13.527,12.132,90,60
Serbia,1926,0.246,3.143,0.088,0.005,0.06,8.057,21,44
Slovakia,1926,0.216,11.54,0.03,0.508,0.024,2.211,19.5,48.667
Slovenia,1926,0.161,0.828,0.019,0.958,0.085,0.745,14.817,46.117
South Africa,1926,0.169,30.43,0.098,2.957,2.938,0.974,25,-30
South Korea,1926,1.392,0.095,0.076,6.933,28.167,1.582,128,36
Spain,1926,1.204,17.514,0.108,0.059,0.806,2.585,-4,40
Sweden,1926,0.235,11.523,0.103,0.055,1.012,1.093,16,63
Switzerland,1926,0.402,7.181,0.588,1.019,0.275,0.465,8.333,46.833
Taiwan,1926,0.317,4.752,1.608,0.066,4.975,0.52,121,24
Tajikistan,1926,0.323,0.118,0.498,0.001,0.098,0.877,71,39
Trinidad and Tobago,1926,0.205,7.197,1.645,0.16,1.96,2.144,-61.1,10.6
Turkey,1926,0.275,3.008,0.269,8.223,6.414,2.788,35,39
Turkmenistan,1926,2.127,0.137,0.225,0.025,0.722,6.912,60,40
Ukraine,1926,0.166,11.787,3.054,0.059,2.426,8.016,32,49
United Kingdom,1926,2.505,241.535,0.95,51.554,4.836,3.196,-3,55
United States,1926,14.416,1477.933,24.987,65.336,345.266,9.181,-100,40
Uzbekistan,1926,0.13,1.24,21.34,0.054,1.083,27.588,63,42
Venezuela,1926,0.379,0.103,22.76,7.712,0.967,27.588,-65,7
Vietnam,1926,0.292,3.422,23.247,21.989,22.407,27.588,108,16
Zimbabwe,1926,0.481,2.323,0.572,1.249,2.036,27.588,30,-20
Argentina,1927,0.131,9.258,5.146,0.26,3.856,1.379,-58.382,-34.604
Armenia,1927,0.146,0.093,1.141,0.005,0.386,1.379,45.038,40.069
Australia,1927,0.376,28.894,0.344,1.088,4.532,1.379,151.21,-33.865
Austria,1927,0.351,19.562,11.985,12.328,0.561,3.039,14.55,47.516
Azerbaijan,1927,0.084,0.051,0.163,0.031,1.304,1.306,48.5,41.4
Belarus,1927,0.031,0.675,0.208,0.013,2.344,3.336,27.953,53.71
Belgium,1927,1.528,89.354,0.028,16.902,1.121,1.522,4.47,50.504
Bosnia and Herzegovina,1927,0.02,1.225,0.061,0.141,0.021,1.609,18.294,44.409
Brazil,1927,0.043,6.075,0.01,0.004,0.66,1.449,-46.625,-23.534
Bulgaria,1927,0.168,1.817,0.594,3.589,1.265,1.195,25.486,42.734
Canada,1927,0.874,82.792,1.226,1.132,8.075,2.77,-123.116,49.246
Chile,1927,0.056,3.877,1.702,21.297,0.432,1.642,-70.674,-33.447
China,1927,0.071,33.515,0.312,5.396,0.011,1.39,104.195,35.862
Croatia,1927,0.391,0.779,0.05,0.017,0.575,0.347,15.967,45.815
Czechia,1927,0.436,38.83,0.408,0.002,0.035,0.87,14.419,50.074
Denmark,1927,0.374,13.326,0.06,0.013,3.717,1.004,12.568,55.676
Egypt,1927,0.164,1.324,1.256,0.84,0.568,0.276,30.802,26.821
Estonia,1927,0.051,0.769,0.714,0.001,0.103,0.166,24.754,59.437
Finland,1927,0.136,2.744,0.092,0.385,0.106,0.955,24.946,60.192
France,1927,2.045,212.849,2.126,1.531,0.191,1.986,2.349,48.865
Georgia,1927,0.008,0.267,0.534,0.005,0.466,7.8,44.783,41.717
Germany,1927,3.704,481.186,0.539,0.932,-0.143,9.852,13.405,52.52
Greece,1927,0.126,1.975,0.777,1.79,0.34,4.032,21.824,39.074
Hungary,1927,0.229,12.579,0.304,0.946,0.509,1.287,19.04,47.498
Indonesia,1927,9.646,4.298,2.363,0.531,8.057,0.17,106.774,-6.121
Iran,1927,11.36,89.997,11.306,48.144,16.701,0.297,53.688,32.428
Ireland,1927,1.567,6.731,28.015,22.214,96.939,0.518,-8.244,53.413
Italy,1927,1.545,38.707,2.639,0.011,1.667,3.4,12.496,41.903
Japan,1927,1.843,88.669,0.728,0.051,0.762,8.408,138.253,36.205
Kazakhstan,1927,0.093,5.327,0.851,0.005,0.766,5.065,66.924,48.02
Kyrgyzstan,1927,0.056,0.423,1.016,0.001,0.138,1.822,74.766,41.204
Latvia,1927,0.045,0.19,0.126,0.002,0.255,0.872,25,57
Lithuania,1927,0.049,0.247,3.407,0.005,0.581,0.409,23.904,54.899
Malaysia,1927,0.066,1.194,0.18,0.134,2.184,0.038,112.5,2.5
Mexico,1927,0.106,1.953,3.047,0.339,29.843,0.185,-102,23
Moldova,1927,0.335,0.434,1.921,0.003,0.29,0.332,28.37,47.412
Montenegro,1927,0.164,0.119,0.047,1.212,0.004,0.518,19.3,42.5
Netherlands,1927,0.154,35.097,0.1,0.79,2.869,1.116,5.55,52.317
New Zealand,1927,0.1,4.496,0.349,22.776,0.36,0.801,173,-42
Nigeria,1927,0.03,0.967,1.136,1.589,1.352,0.603,10,8
North Korea,1927,0.84,1.781,11.015,25.471,0.208,0.505,127,40
North Macedonia,1927,0.121,0.863,3.386,9.493,0.048,0.433,21.7,41.6
Norway,1927,0.134,7.914,0.121,0.761,0.619,0.362,8,61
Oceania,1927,0.489,33.39,1.333,7.475,0.044,1.091,133.775,-25.274
Peru,1927,0.036,0.429,1.626,0.898,4.254,5.131,-76,-10
Philippines,1927,0.212,0.04,0.594,12.063,17.623,5.274,122,13
Poland,1927,0.853,58.411,2.96,0.63,1.627,5.422,20,52
Portugal,1927,0.299,3.364,3.393,24.515,0.267,3.295,-9.183,38.7
Romania,1927,0.237,4.085,1.318,0.784,11.256,1.405,25,46
Russia,1927,0.683,42.257,5.589,0.303,16.291,12.533,90,60
Serbia,1927,0.189,3.548,0.087,0.004,0.071,8.043,21,44
Slovakia,1927,0.218,12.391,0.03,0.339,0.018,2.197,19.5,48.667
Slovenia,1927,0.117,0.931,0.019,0.639,0.1,0.737,14.817,46.117
South Africa,1927,0.172,29.561,0.098,2.965,3.022,0.98,25,-30
South Korea,1927,1.219,0.099,0.076,6.82,27.014,1.587,128,36
Spain,1927,0.983,20.225,0.109,0.161,1.059,2.59,-4,40
Sweden,1927,0.247,16.528,0.106,0.057,1.099,1.085,16,63
Switzerland,1927,0.358,8.079,0.579,0.985,0.517,0.461,8.333,46.833
Taiwan,1927,0.303,4.928,1.599,0.088,4.524,0.523,121,24
Tajikistan,1927,0.163,0.15,0.489,0.001,0.119,0.88,71,39
Trinidad and Tobago,1927,0.198,6.899,1.652,0.192,2.099,2.147,-61.1,10.6
Turkey,1927,0.152,3.279,0.268,8.066,6.109,2.791,35,39
Turkmenistan,1927,1.079,0.178,0.227,0.027,0.894,6.917,60,40
Ukraine,1927,0.159,14.778,3.07,0.061,2.906,8.02,32,49
United Kingdom,1927,2.339,460.382,0.933,48.332,6.353,3.201,-3,55
United States,1927,14.974,1376.693,25.743,71.939,396.207,9.415,-100,40
Uzbekistan,1927,0.124,1.58,20.901,0.056,1.318,27.588,63,42
Venezuela,1927,0.338,0.048,22.971,6.604,0.967,27.588,-65,7
Vietnam,1927,0.186,3.957,22.876,21.59,21.488,27.588,108,16
Zimbabwe,1927,0.457,2.411,0.572,1.249,1.963,27.588,30,-20
Argentina,1928,0.116,8.284,5.074,0.297,4.041,1.379,-58.382,-34.604
Armenia,1928,0.007,0.116,1.117,0.006,0.409,1.379,45.038,40.069
Australia,1928,0.378,25.908,0.346,1.057,4.771,1.379,151.21,-33.865
Austria,1928,0.258,20.203,11.797,9.867,0.729,3.009,14.55,47.516
Azerbaijan,1928,0.022,0.065,0.164,0.038,1.416,1.311,48.5,41.4
Belarus,1928,0.03,0.84,0.214,0.016,2.484,3.341,27.953,53.71
Belgium,1928,1.505,84.803,0.028,16.167,1.938,1.54,4.47,50.504
Bosnia and Herzegovina,1928,0.009,1.383,0.061,0.07,0.023,1.608,18.294,44.409
Brazil,1928,0.044,5.884,0.01,0.004,0.578,1.448,-46.625,-23.534
Bulgaria,1928,0.055,2.085,0.586,3.498,1.234,1.194,25.486,42.734
Canada,1928,0.869,81.605,1.227,1.194,10.109,2.775,-123.116,49.246
Chile,1928,0.055,3.602,1.639,20.33,0.413,1.64,-70.674,-33.447
China,1928,0.04,34.057,0.323,5.162,0.011,1.388,104.195,35.862
Croatia,1928,0.387,0.653,0.049,0.011,0.479,0.345,15.967,45.815
Czechia,1928,0.421,40.89,0.409,0.002,0.03,0.9,14.419,50.074
Denmark,1928,0.385,12.172,0.059,0.013,3.771,1.001,12.568,55.676
Egypt,1928,0.044,1.288,1.259,0.82,0.824,0.276,30.802,26.821
Estonia,1928,0.05,0.877,0.702,0.001,0.1,0.166,24.754,59.437
Finland,1928,0.138,2.854,0.093,0.395,0.136,0.958,24.946,60.192
France,1928,2.097,209.152,2.199,1.429,0.37,2.033,2.349,48.865
Georgia,1928,0.007,0.325,0.524,0.006,0.483,7.817,44.783,41.717
Germany,1928,3.812,501.199,0.552,0.802,-0.154,9.869,13.405,52.52
Greece,1928,0.073,1.913,0.765,1.761,0.388,3.984,21.824,39.074
Hungary,1928,0.211,12.949,0.304,0.757,0.59,1.288,19.04,47.498
Indonesia,1928,4.859,4.52,2.391,0.714,9.597,0.171,106.774,-6.121
Iran,1928,10.489,82.514,11.318,46.445,17.679,0.298,53.688,32.428
Ireland,1928,1.43,6.485,27.57,21.779,92.767,0.519,-8.244,53.413
Italy,1928,1.519,34.738,2.661,0.011,1.88,3.424,12.496,41.903
Japan,1928,1.897,89.643,0.712,0.048,0.802,8.461,138.253,36.205
Kazakhstan,1928,0.036,5.999,0.855,0.006,0.736,5.03,66.924,48.02
Kyrgyzstan,1928,0.008,0.482,0.997,0.001,0.134,1.817,74.766,41.204
Latvia,1928,0.019,0.227,0.125,0.003,0.259,0.867,25,57
Lithuania,1928,0.021,0.3,3.336,0.006,0.6,0.411,23.904,54.899
Malaysia,1928,0.064,1.502,0.181,0.133,2.305,0.038,112.5,2.5
Mexico,1928,0.105,1.938,3.031,0.371,22.039,0.186,-102,23
Moldova,1928,0.007,0.508,1.88,0.003,0.29,0.333,28.37,47.412
Montenegro,1928,0.163,0.135,0.046,1.205,0.005,0.519,19.3,42.5
Netherlands,1928,0.129,35.2,0.099,0.753,2.807,1.117,5.55,52.317
New Zealand,1928,0.102,4.613,0.341,22.251,0.271,0.796,173,-42
Nigeria,1928,0.031,0.967,1.136,1.546,1.316,0.603,10,8
North Korea,1928,0.735,2.051,10.951,25.338,0.216,0.504,127,40
North Macedonia,1928,0.033,0.948,3.322,9.36,0.053,0.433,21.7,41.6
Norway,1928,0.158,7.614,0.122,0.77,0.682,0.361,8,61
Oceania,1928,0.48,30.521,1.302,7.262,0.034,1.117,133.775,-25.274
Peru,1928,0.025,0.472,1.625,0.96,4.881,5.133,-76,-10
Philippines,1928,0.033,0.048,0.614,11.874,16.905,5.275,122,13
Poland,1928,0.542,59.991,2.98,0.638,1.718,5.423,20,52
Portugal,1928,0.036,3.609,3.341,24.139,0.348,3.251,-9.183,38.7
Romania,1928,0.164,3.877,1.316,1.092,13.138,1.409,25,46
Russia,1928,0.582,48.502,5.769,0.333,15.939,12.934,90,60
Serbia,1928,0.132,3.907,0.087,0.002,0.077,8.029,21,44
Slovakia,1928,0.219,13.05,0.03,0.171,0.016,2.183,19.5,48.667
Slovenia,1928,0.073,0.987,0.019,0.32,0.106,0.73,14.817,46.117
South Africa,1928,0.175,29.623,0.098,2.972,3.105,0.985,25,-30
South Korea,1928,1.046,0.114,0.075,6.707,25.862,1.592,128,36
Spain,1928,0.763,19.485,0.109,0.205,1.26,2.596,-4,40
Sweden,1928,0.233,14.66,0.11,0.059,1.352,1.077,16,63
Switzerland,1928,0.313,8.035,0.57,0.95,0.616,0.458,8.333,46.833
Taiwan,1928,0.289,4.203,1.59,0.11,4.073,0.526,121,24
Tajikistan,1928,0.004,0.176,0.48,0.001,0.118,0.883,71,39
Trinidad and Tobago,1928,0.191,6.602,1.658,0.224,3.232,2.15,-61.1,10.6
Turkey,1928,0.029,3.096,0.267,7.908,5.804,2.794,35,39
Turkmenistan,1928,0.031,0.22,0.229,0.032,0.94,6.921,60,40
Ukraine,1928,0.151,16.703,3.085,0.066,2.8,8.024,32,49
United Kingdom,1928,2.173,431.198,0.916,45.11,4.269,3.205,-3,55
United States,1928,15.322,1330.158,26.499,78.054,404.402,9.65,-100,40
Uzbekistan,1928,0.118,1.814,20.462,0.062,1.29,27.588,63,42
Venezuela,1928,0.297,0.048,23.182,5.496,1.854,27.588,-65,7
Vietnam,1928,0.08,5.218,22.504,21.19,20.57,27.588,108,16
Zimbabwe,1928,0.433,2.906,0.572,1.249,1.89,27.588,30,-20
Argentina,1929,0.174,8.321,5.002,0.458,4.177,1.379,-58.382,-34.604
Armenia,1929,0.008,0.108,1.093,0.007,0.456,1.379,45.038,40.069
Australia,1929,0.356,23.296,0.347,1.026,5.01,1.379,151.21,-33.865
Austria,1929,0.287,23.087,11.608,7.407,0.799,2.978,14.55,47.516
Azerbaijan,1929,0.024,0.059,0.166,0.042,1.534,1.315,48.5,41.4
Belarus,1929,0.034,0.79,0.22,0.018,2.787,3.345,27.953,53.71
Belgium,1929,1.606,93.183,0.029,15.433,2.165,1.558,4.47,50.504
Bosnia and Herzegovina,1929,0.009,1.519,0.06,0,0.024,1.607,18.294,44.409
Brazil,1929,0.047,6.298,0.01,0.004,0.497,1.447,-46.625,-23.534
Bulgaria,1929,0.076,2.407,0.579,3.407,1.202,1.193,25.486,42.734
Canada,1929,0.963,83.899,1.229,1.502,12.666,2.78,-123.116,49.246
Chile,1929,0.073,3.943,1.575,19.362,0.394,1.638,-70.674,-33.447
China,1929,0.077,35.717,0.334,4.928,0.011,1.386,104.195,35.862
Croatia,1929,0.402,0.99,0.049,0.005,0.683,0.343,15.967,45.815
Czechia,1929,0.407,45.743,0.409,0.002,0.03,0.93,14.419,50.074
Denmark,1929,0.396,14.729,0.059,0.014,3.825,0.998,12.568,55.676
Egypt,1929,0.087,1.253,1.262,0.8,0.835,0.275,30.802,26.821
Estonia,1929,0.043,0.922,0.689,0.001,0.125,0.166,24.754,59.437
Finland,1929,0.138,3.103,0.093,0.405,0.11,0.96,24.946,60.192
France,1929,2.86,230.931,2.271,1.327,0.491,2.08,2.349,48.865
Georgia,1929,0.008,0.313,0.515,0.007,0.555,7.834,44.783,41.717
Germany,1929,3.562,535.673,0.566,0.672,-0.293,9.886,13.405,52.52
Greece,1929,0.076,2.173,0.752,1.732,0.454,3.936,21.824,39.074
Hungary,1929,0.2,14.275,0.304,0.569,0.638,1.289,19.04,47.498
Indonesia,1929,0.073,4.862,2.419,0.799,12.806,0.173,106.774,-6.121
Iran,1929,9.618,75.031,11.33,44.747,17.023,0.299,53.688,32.428
Ireland,1929,1.292,9.999,27.125,21.344,88.595,0.52,-8.244,53.413
Italy,1929,1.73,40.124,2.684,0.011,2.162,3.447,12.496,41.903
Japan,1929,2.112,91.864,0.696,0.051,0.854,8.515,138.253,36.205
Kazakhstan,1929,0.046,6.32,0.86,0.007,0.925,4.995,66.924,48.02
Kyrgyzstan,1929,0.01,0.497,0.979,0.001,0.165,1.812,74.766,41.204
Latvia,1929,0.028,0.221,0.124,0.003,0.301,0.862,25,57
Lithuania,1929,0.024,0.285,3.266,0.007,0.682,0.412,23.904,54.899
Malaysia,1929,0.062,1.784,0.181,0.132,2.33,0.037,112.5,2.5
Mexico,1929,0.113,1.997,3.015,0.403,19.635,0.187,-102,23
Moldova,1929,0.008,0.51,1.84,0.004,0.347,0.334,28.37,47.412
Montenegro,1929,0.162,0.148,0.045,1.198,0.005,0.52,19.3,42.5
Netherlands,1929,0.105,38.41,0.099,0.716,2.751,1.118,5.55,52.317
New Zealand,1929,0.098,4.796,0.334,21.726,0.182,0.791,173,-42
Nigeria,1929,0.032,0.931,1.136,1.504,1.28,0.602,10,8
North Korea,1929,0.629,2.357,10.888,25.205,0.225,0.504,127,40
North Macedonia,1929,0.034,1.072,3.258,9.227,0.056,0.432,21.7,41.6
Norway,1929,0.159,8.533,0.124,0.779,0.828,0.36,8,61
Oceania,1929,0.454,28.092,1.272,7.048,0.024,1.143,133.775,-25.274
Peru,1929,0.025,0.586,1.625,1.022,5.449,5.134,-76,-10
Philippines,1929,0.038,0.031,0.634,11.686,16.188,5.277,122,13
Poland,1929,0.498,70.019,3,0.649,1.524,5.424,20,52
Portugal,1929,0.044,3.583,3.289,23.762,0.341,3.208,-9.183,38.7
Romania,1929,0.156,4.056,1.314,1.44,14.839,1.414,25,46
Russia,1929,0.723,49.744,5.949,0.412,19.502,13.334,90,60
Serbia,1929,0.136,4.4,0.087,0.001,0.082,8.014,21,44
Slovakia,1929,0.22,14.598,0.03,0.002,0.016,2.169,19.5,48.667
Slovenia,1929,0.076,1.16,0.019,0.001,0.117,0.722,14.817,46.117
South Africa,1929,0.178,30.591,0.098,2.98,3.189,0.99,25,-30
South Korea,1929,0.873,0.131,0.075,6.594,24.709,1.597,128,36
Spain,1929,0.901,21.654,0.11,0.249,1.414,2.601,-4,40
Sweden,1929,0.284,17.617,0.113,0.06,1.469,1.069,16,63
Switzerland,1929,0.342,9.186,0.562,0.916,0.736,0.455,8.333,46.833
Taiwan,1929,0.274,4.06,1.581,0.132,3.621,0.529,121,24
Tajikistan,1929,0.005,0.176,0.471,0.002,0.141,0.886,71,39
Trinidad and Tobago,1929,0.184,6.304,1.664,0.256,3.338,2.153,-61.1,10.6
Turkey,1929,0.033,3.517,0.266,7.751,5.499,2.797,35,39
Turkmenistan,1929,0.034,0.204,0.231,0.036,1.042,6.925,60,40
Ukraine,1929,0.191,17.471,3.1,0.083,3.493,8.029,32,49
United Kingdom,1929,2.355,454.713,0.9,41.888,3.605,3.21,-3,55
United States,1929,14.903,1404.59,27.254,95.462,445.598,9.885,-100,40
Uzbekistan,1929,0.142,1.797,20.023,0.074,1.524,27.588,63,42
